Company Name,Founding Year,AI Category,Use Case / Product Description,Total Funding Raised (USD),Valuation (USD),ARR (USD),Customer ROI Claim,Pricing Model,Data Source,Last Updated (MM/YYYY),Notes,YCBacked,Growth Rate / Velocity,Latest Funding Round
Scale AI,2016,ML Infrastructure,Data-centric infrastructure platform for AI model training with RLHF,$15.9B,$29B (Jun 2025),,Meta Microsoft OpenAI GM Toyota,Enterprise + Pay-as-you-go,https://www.ycombinator.com/companies/scale-ai,02/2026,"Meta acquired 49% stake for $14.3B. Founder Alexandr Wang became Meta Chief AI Officer. Clients include OpenAI, Meta, Microsoft, Google, DoD.",Yes,"+130% YoY ($870M to $2B, 2024-2025)","Series G, $14.3B, 06/2025, Led by Meta (49% stake)"
Replit,2016,AI Coding,AI-powered software development platform,$870M+,$9B (Jan 2026),$240M ARR (2025),"50% reduction in development time, $40K annual savings + $112K one-time savings",Freemium,https://replit.com/news/funding-announcement,02/2026,150K+ paying customers. Pivoted from dev tools to vibe coding (non-technical users). Targeting $1B revenue 2026.,Yes,900%+ (ARR $10M to $100M in 6 months),"Series D, $400M, 01/2026, Led by undisclosed"
Jasper AI,2018,Generative AI,AI content platform for marketing teams,$131M,$1.5B,$88M ARR,,Subscription,https://www.ycombinator.com/companies/jasper-ai,01/2026,,Yes,2.5x growth (2023-2024),"Series A, $131M, 10/2022, Led by Insight Partners"
Podium,2014,AI Lead Management,AI-powered lead management and communication platform,$100M+,,,100K+ businesses,Enterprise (custom quotes),https://www.ycombinator.com/companies/podium,01/2026,,Yes,,"Series C, $125M, 06/2021, Led by IVP"
Checkr,2014,AI Compliance,AI-powered background check platform,$100M+,,,800+ customers,Per-check,https://www.ycombinator.com/companies/checkr,01/2026,,Yes,,"Series D, $150M, 09/2021, Led by GGV Capital"
Adept AI,2022,AI Agents,AI agents for enterprise workflow automation,$415M,$1B,$43.3M ARR,,Enterprise,https://www.texau.com/profiles/adept,12/2025,,Yes,2 years to $43M ARR,"Series A+ (Pipeline), $350M, 03/2024, Led by General Catalyst"
Glean,2022,AI Enterprise Search,AI-powered enterprise search and knowledge discovery,$560M+,$7.2B (Jun 2025),$100M+ ARR,"5 queries/day avg usage, ~40% DAU/MAU ratio (vs typical 10-20%)",Enterprise,https://tracxn.com/d/companies/glean/,02/2026,850+ employees. 100M+ agent actions annually. Named CNBC Disruptor 50 and Fast Company Top 10 Most Innovative 2025.,Yes,"3.6x in 9 months ($55M to $200M, 2025)","Series F, $150M, 06/2025, Led by Wellington Management"
Moveworks,2016,AI Support,AI platform for IT support automation,$305M,$2.1B,,"256% ROI over 3 years (Forrester); 514% ROI, 3.6mo payback (City of Glendale)",Enterprise,https://tracxn.com/d/companies/moveworks/,12/2025,,Yes,,"Series C, $200M, 09/2023, Led by Iconiq Capital"
Writer,2020,AI Writing,Enterprise AI writing platform with brand consistency,$126M,$520M,,"333% ROI, $12.02M NPV over 3 years, <6mo payback (Forrester)",Enterprise,https://tracxn.com/d/companies/writer/,12/2025,,Yes,+150% YoY (2024-2025),"Series B, $126M, 11/2023, Led by Insight Partners"
Anyscale,2019,ML Infrastructure,Open-source Ray platform for distributed computing,$259M,$1B,,50% GPU cost savings (Handshake); 75% cloud cost reduction (SewerAI); 5x experiment velocity,Open-source + Enterprise,https://tracxn.com/d/companies/anyscale/,12/2025,,Yes,,"Series C, $259M, 09/2023, Led by Andreessen Horowitz"
Weights & Biases,2017,ML Infrastructure,MLOps platform for experiment tracking,$250M,$1.25B,,,Open-source + Enterprise,https://tracxn.com/d/companies/weights-biases/,12/2025,,Yes,,"Series C, $250M, 09/2023, Led by Bessemer Venture Partners"
Labelbox,2018,ML Infrastructure,Enterprise data labeling platform,$188M,$1B,,,Freemium + Enterprise,https://tracxn.com/d/companies/labelbox/,12/2025,,Yes,,"Series C, $188M, 05/2022, Led by Andreessen Horowitz"
Run:ai,2018,ML Infrastructure,AI compute orchestration platform,$131M,$700M,,,Enterprise + Cloud,https://tracxn.com/d/companies/run-ai/,12/2025,,Yes,,"Series B, $131M, 07/2023, Led by Insight Partners"
Modal,2020,ML Infrastructure,Serverless compute for ML,$100M+,,,,Pay-per-use,https://tracxn.com/d/companies/modal-labs/,12/2025,,Yes,,"Series A, $30M, 01/2023, Led by General Catalyst"
Paperspace,2014,ML Infrastructure,Cloud platform for AI applications,$100M+,,,,Freemium + Enterprise,https://tracxn.com/d/companies/paperspace/,12/2025,,Yes,,"Series A, $100M, 12/2023, Led by Horizon AI"
Replicate,2022,ML Infrastructure,Platform for open-source ML models,$30M+,,,,Pay-per-use API,https://tracxn.com/d/companies/replicate/,12/2025,,Yes,,"Seed, $30M, 06/2024, Led by Andreessen Horowitz"
LangChain,2023,ML Infrastructure,Framework for LLM applications,$100M+,,,,Open-source + Enterprise,https://tracxn.com/d/companies/langchain/,01/2026,,Yes,,"Series B, $100M+, 04/2024, Led by Andreessen Horowitz"
Cursor (Anysphere),2022,AI Coding,AI-first code editor,$3.5B,$29.3B (Nov 2025),$1B ARR,100K+ developers,Freemium + Pro,https://tracxn.com/d/companies/cursor/,02/2026,1M+ daily active users. $0 marketing spend. 300+ employees. In-house models generate more code than almost any other LLMs.,Yes,$100M to $1B ARR in ~11 months,"Series D, $2.3B, 11/2025, Led by Accel, Coatue"
Lovable,2023,AI Coding,Vibe coding platform for rapid app development,$215M+,$6.6B (Dec 2025),$200M ARR,,Freemium,https://fortune.com/2025/11/29/ai-startup-valuations-are-doubling/,02/2026,"Fastest SaaS company to $100M ARR ever. Stockholm-based, opening SF and Boston offices. Vibe coding platform.",Yes,$0 to $200M ARR in 12 months,"Series B, undisclosed amount, 12/2025, Led by Accel, Khosla Ventures"
Decagon,2023,AI Agents,AI agent for customer support automation,$45M+,$520M,Seven figures ARR,,Enterprise,https://fortune.com/2025/11/29/ai-startup-valuations-are-doubling/,11/2025,,Yes,,"Series A, $45M, 08/2024, Led by Accel"
Anthropic,2021,LLM,AI safety company developing Claude chatbot,$64B+,$380B (Feb 2026),$14B ARR,,API + Subscription,https://sacra.com/c/anthropic/,02/2026,80% enterprise revenue. Claude Code run-rate >$2.5B. 10x annual revenue growth for 3 consecutive years. 7x growth in $100K+ customers YoY.,No,1000%+ (10x annual for 3 years),"Series G, $30B, 02/2026, Led by GIC, Coatue"
OpenAI,2015,LLM,"Company behind ChatGPT, GPT models, and DALL-E",$150B+,$730B (Feb 2026),$20B+ ARR,,API + Subscription,https://sacra.com/c/openai/,02/2026,"900M+ weekly active users, 50M+ consumer subscribers. Largest private funding round in history ($110B). Codex weekly users tripled to 1.6M in 2026.",Yes,"+900% YoY ($2B to $20B ARR, 2024-2025)","Series, $110B, 02/2026, Led by Amazon, NVIDIA, SoftBank"
Cohere,2019,LLM,Enterprise-focused LLM for secure AI deployment,$1.5B+,$7B,$240M ARR,,API + Enterprise,https://sacra.com/c/cohere/,02/2026,85% private-sector revenue. Hired Meta FAIR head Joelle Pineau as Chief AI Officer. IPO planned 2026. 70% gross margins.,No,50%+ QoQ growth throughout 2025,"Series D (extended), $600M total, 09/2025, Led by Radical Ventures, Inovia Capital"
Mistral AI,2023,LLM,French AI company with open-source LLMs,$3.05B,$14B,$300M+ ARR (Sep 2025),,API + Enterprise,https://tracxn.com/d/companies/mistral-ai/,02/2026,Europe's most valuable AI startup. ASML owns 11%. Targeting €1B revenue by end 2026. Mistral Compute platform launching 2026 with 18K NVIDIA Grace Blackwell GPUs.,No,25x revenue growth YoY,"Series C, $3B+, 09/2025, Led by General Catalyst"
Hugging Face,2016,ML Infrastructure,Open-source ML platform,$400M,$4.5B,,"13M AI builders, 2M+ models deployed",Free + Enterprise,https://sacra.com/c/hugging-face/,02/2026,,No,3x growth in 2024,"Series D, $400M, 08/2023, Led by Google, Amazon, Nvidia"
xAI,2023,LLM,AI company developing Grok chatbot,$42B+,$250B (Feb 2026),"""$500M ARR (standalone, 2025)""",,API + Subscription,https://sacra.com/c/xai/,02/2026,Acquired by SpaceX Feb 2026 at $250B valuation. Built Colossus supercomputer (1M+ GPUs). 64M monthly Grok users.,No,,"Series E, $20B, 01/2026, Led by NVIDIA, Cisco, Fidelity, Valor Equity Partners"
Perplexity AI,2022,AI Search,AI-powered search engine,$1.7B+,$20B,$200M ARR,10x faster information retrieval vs traditional search,Freemium + Enterprise,https://techcrunch.com/2025/09/10/perplexity-reportedly-raised-200m-at-20b-valuation/,02/2026,,No,"+135% YoY ($63M to $148M, 2024-2025)","Series B, $200M, 09/2025, Led by Institutional Venture Partners"
Character AI,2021,Conversational AI,Platform for creating AI characters,$193M,$1B,$30M+ ARR,,Freemium,https://sacra.com/c/character-ai/,02/2026,,No,$30M+ ARR in 2 years,"Series A, $193M, 03/2023, Led by Andreessen Horowitz"
Stability AI,2019,Generative AI,Open-source generative AI with Stable Diffusion,$225M,$1B,$80M revenue,,Freemium + Enterprise,https://sacra.com/c/stability-ai/,02/2026,,No,,"Series A+, $225M, 10/2023, Led by Coatue Management"
Midjourney,2021,Generative AI,AI image generation platform,$0 (bootstrapped),$10B+ [ESTIMATE],$500M ARR,500K+ paying subscribers,Subscription,https://sacra.com/c/midjourney/,02/2026,,No,50x growth (2023-2024),"Bootstrapped, $0 raised, N/A"
